Cell,Site,AltFreq,AltPos,PoiWin,HmmWin,PoiWinPr,HmmWinPr,HmmMidAlph,SwiRate,DivRate,PrStartA,PrA2B,PrB2A,PrSwiMajor,PrDivMajor,PvalSepRank,PvalSepPoi,MinSampSing,PrAlpha0,PrAlpha10,PrAlpha20,PrAlpha30,PrAlpha40,PrAlpha50,PrAlpha60,PrAlpha70,PrAlpha80,PrAlpha90,PrAlpha100,Swi40.60,Swi60.80,Swi80.100,Div40.60,Div60.80,Div80.100,PowSwi,PowAllA,PowAllB,PowAve,ClarityA,ClarityB,MinPow,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,Comments,set
YKIC092311_1Loc_DoubleSound,1,609,24,Average,Divide,1,0.81,0.5,0.29,0.71,0.48,0.75,0.78,0.19,0.81,0,0,7,0.08,0.09,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0,1,0,0,0,4,0.96,1,1,1,0.48,0.47,1,112.0442,0.5314,0.49,0,1,0,0,,JA
YKIC110111_1Loc_DoubleSound,1,903,24,Average,Divide,0.98,0.99,0.57,0.09,0.91,0.51,0.82,0.81,0.01,0.99,0,0,4,0.07,0.08,0.09,0.13,0.16,0.13,0.09,0.06,0.06,0.06,0.06,0,0,0,0,0,6,0.96,1,1,1,0.52,0.41,1,94.1296,0.6754,0.3,0,0.98,0,0.01,,JA
YKIC092911_1Loc_DoubleSound,1,903,-6,Average,Divide,0.52,0.97,0.47,0.12,0.88,0.52,0.81,0.81,0.03,0.97,0,0,5,0.07,0.07,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.09,0,0,0,0,1,6,0.96,1,1,1,0.41,0.52,1,16.2413,0.1625,0.5,0.16,0.52,0,0.32,,JA
YKIC120111Loc_DoubleSound,1,1100,6,Mixture,Divide,0.99,0.99,0.49,0.08,0.92,0.49,0.81,0.81,0.01,0.99,0,0,5,0.13,0.09,0.08,0.08,0.1,0.11,0.11,0.09,0.08,0.06,0.06,0,0,0,0,0,6,0.96,1,1,1,0.48,0.44,1,57.8272,0.4313,0.61,0.99,0.01,0,0,,JA
YKIC082611Loc_DoubleSound,1,500,24,Mixture,Divide,0.97,0.6,0.51,0.42,0.58,0.51,0.8,0.79,0.4,0.6,0.01,0,4,0.07,0.08,0.08,0.08,0.09,0.1,0.12,0.12,0.1,0.08,0.07,2,0,0,1,2,1,0.96,1,1,1,0.44,0.47,1,14.0938,0.2983,0.72,0.97,0.02,0,0.01,,JA
YKIC110311Loc_DoubleSound,1,1100,-6,Single,Divide,0.6,1,0.29,0.03,0.97,0.49,0.81,0.81,0,1,0,0,15,0.03,0.03,0.03,0.03,0.04,0.05,0.07,0.1,0.11,0.18,0.33,0,0,0,0,0,20,0.96,1,1,1,0.63,0.56,1,165.426,0.4801,0.05,0.15,0.14,0.11,0.6,,JA
YKIC090111_1Loc_DoubleSound,1,1100,-6,Average,Divide,0.91,1,0.49,0.05,0.95,0.51,0.82,0.82,0,1,0,0,9,0.06,0.05,0.06,0.08,0.08,0.09,0.11,0.13,0.13,0.12,0.1,0,0,0,0,0,8,0.92,1,1,1,0.53,0.57,0.9,176.31,0.1413,0.17,0.07,0.91,0,0.01,,JA
YKIC110111Loc_DoubleSound,1,903,24,Average,Divide,0.9,1,0.51,0.07,0.93,0.49,0.82,0.82,0,1,0,0,4,0.09,0.1,0.11,0.13,0.13,0.11,0.08,0.06,0.06,0.06,0.06,0,0,0,0,0,6,0.92,1,1,1,0.5,0.39,0.9,96.1521,0.0982,0.29,0.03,0.9,0.01,0.06,,JA
YKIC110111_1Loc_DoubleSound,1,500,-6,Average,Divide,0.63,0.98,0.42,0.1,0.9,0.49,0.82,0.82,0.02,0.98,0,0,7,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.12,0.15,0.13,0.1,0,0,0,0,0,4,0.92,1,0.92,1,0.4,0.45,0.9,154.8883,0.0725,0.64,0.11,0.63,0.07,0.19,,JA
YKIC110411Loc_DoubleSound,1,1100,-6,Mixture,Divide,1,1,0.5,0.07,0.93,0.53,0.8,0.81,0,1,0,0,21,0.08,0.05,0.05,0.06,0.1,0.13,0.12,0.09,0.08,0.1,0.14,0,0,0,0,0,12,0.88,1,1,1,0.54,0.57,0.9,222.8641,0.5965,0.16,1,0,0,0,,JA
