"Cell","Site","contra","AltFreq","AltPos","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","Switch","url"
"YKIC141009Loc_DoubleSound",1,1,500,24,0.847511071,0.107716621,1.73e-05,0.044755033,"Mixture",0.847511071,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC141009Loc_DoubleSound_Site1_Freq500_Pos24.png"
"YKIC140220Loc_DoubleSound",2,1,1988,-24,0.111462537,0.815326414,4.23e-06,0.073206817,"Average",0.815326414,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140220Loc_DoubleSound_Site2_Freq1988_Pos-24.png"
"YKIC140321Loc_DoubleSound",2,1,1632,-24,0.721923248,0.165491334,0.005050154,0.107535264,"Mixture",0.721923248,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140321Loc_DoubleSound_Site2_Freq1632_Pos-24.png"
"YKIC092311_1Loc_DoubleSound",0,-1,609,24,3.21e-06,0.999996345,7.49e-11,4.49e-07,"Average",0.999996345,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC092311_1Loc_DoubleSound_Site0_Freq609_Pos24.png"
"YKIC140220Loc_DoubleSound",2,1,1988,6,0.631331926,0.063125939,4.76e-05,0.305494494,"Mixture",0.631331926,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140220Loc_DoubleSound_Site2_Freq1988_Pos6.png"
"YKIC140219Loc_DoubleSound",2,1,1100,6,0.59230542,0.116038544,0.000365139,0.291290897,"Mixture",0.59230542,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140219Loc_DoubleSound_Site2_Freq1100_Pos6.png"
"YKIC140226Loc_DoubleSound",2,1,1988,6,0.583748548,0.136588167,0.042613467,0.237049818,"Mixture",0.583748548,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140226Loc_DoubleSound_Site2_Freq1988_Pos6.png"
"YKIC140219Loc_DoubleSound",2,1,609,6,0.581760732,0.227729666,4.64e-05,0.190463248,"Mixture",0.581760732,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140219Loc_DoubleSound_Site2_Freq609_Pos6.png"
"YKIC140516Loc_DoubleSound",1,1,500,6,0.570254218,0.239986401,0.007818418,0.181940963,"Mixture",0.570254218,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140516Loc_DoubleSound_Site1_Freq500_Pos6.png"
"YKIC140603Loc_DoubleSound",1,1,500,-24,0.567981281,0.165238265,0.057287844,0.20949261,"Mixture",0.567981281,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140603Loc_DoubleSound_Site1_Freq500_Pos-24.png"
