Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC031711Loc_DoubleSound,0,1,1100,-24,0.972807699,0.025510405,7.98E-05,0.001602054,Mixture,0.972807699,0.09,0.08,0.08,0.07,0.09,0.08,0.09,0.1,0.09,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC031711Loc_DoubleSound,0,1,1100,-6,0.267200698,0.166118278,0.002429535,0.564251488,Single,0.564251488,0.14,0.11,0.11,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC031711Loc_DoubleSound,0,1,903,-6,0.207195693,0.465430937,0.069010849,0.258362522,Average,0.465430937,0.08,0.09,0.08,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC042011Loc_DoubleSound,0,1,1100,24,0.248503151,0.164178709,0.02865006,0.558668081,Single,0.558668081,0.06,0.06,0.06,0.07,0.07,0.08,0.09,0.1,0.12,0.14,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC042011Loc_DoubleSound,0,1,1100,6,0.340860251,0.494660946,0.032416663,0.13206214,Average,0.494660946,0.09,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC051111Loc_DoubleSound,0,1,903,-24,0.999645872,0.000354127,1.98E-12,9.05E-10,Mixture,0.999645872,0.08,0.08,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC051111Loc_DoubleSound,0,1,1100,-24,0.080742138,0.684138649,0.030497985,0.204621228,Average,0.684138649,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.09,0.09,0.11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090710Loc_DoubleSound,0,1,1100,-24,0.043542429,0.953782669,0.000976418,0.001698484,Average,0.953782669,0.07,0.08,0.08,0.09,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090710Loc_DoubleSound,0,1,903,-24,0.064198498,0.845797373,0.017264974,0.072739155,Average,0.845797373,0.08,0.08,0.1,0.09,0.09,0.11,0.11,0.09,0.09,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090710Loc_DoubleSound,0,1,609,6,0.081026773,0.772923152,0.023382307,0.122667768,Average,0.772923152,0.08,0.09,0.1,0.1,0.1,0.09,0.11,0.1,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090710Loc_DoubleSound,0,1,500,6,0.117823613,0.549763782,0.000195497,0.332217109,Average,0.549763782,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090810Loc_DoubleSound,0,1,1100,-6,0.150734624,0.528752698,0.077813959,0.242698719,Average,0.528752698,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090810Loc_DoubleSound,0,1,500,24,0.290655148,0.451663532,0.051256247,0.206425073,Average,0.451663532,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090910Loc_DoubleSound,0,1,1100,-6,0.131690142,0.643647848,0.045542764,0.179119245,Average,0.643647848,0.08,0.09,0.09,0.08,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090910Loc_DoubleSound,0,1,500,6,0.203122892,0.515074307,0.028974356,0.252828445,Average,0.515074307,0.08,0.09,0.08,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090910Loc_DoubleSound,0,1,609,6,0.259231975,0.146382538,0.106625566,0.48775992,Single,0.48775992,0.16,0.14,0.12,0.1,0.1,0.07,0.07,0.07,0.06,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090910Loc_DoubleSound,0,1,903,-6,0.482536401,0.295112418,0.002564738,0.219786443,Mixture,0.482536401,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC090910Loc_DoubleSound,0,1,903,-24,0.45839412,0.466300063,0.005805637,0.06950018,Average,0.466300063,0.09,0.08,0.09,0.1,0.1,0.09,0.08,0.1,0.08,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091010Loc_DoubleSound,0,1,1100,-24,0.041729512,0.949569371,0.00113554,0.007565577,Average,0.949569371,0.07,0.07,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091010Loc_DoubleSound,0,1,903,24,0.806733575,0.099027092,0.000698929,0.093540404,Mixture,0.806733575,0.12,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091010Loc_DoubleSound,0,1,609,24,0.491880996,0.12619607,0.083074418,0.298848516,Mixture,0.491880996,0.13,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,500,24,0.949715967,0.030586629,0.003059841,0.016637563,Mixture,0.949715967,0.11,0.11,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,903,-24,0.792184279,0.145939776,3.32E-05,0.061842699,Mixture,0.792184279,0.1,0.11,0.09,0.08,0.09,0.09,0.08,0.08,0.1,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,500,6,0.365526373,0.187173956,8.51E-05,0.447214539,Single,0.447214539,0.07,0.07,0.08,0.07,0.09,0.07,0.09,0.11,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091310Loc_DoubleSound,0,1,1100,-6,0.195414623,0.371156413,0.004657708,0.428771255,Single,0.428771255,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091410Loc_DoubleSound,0,1,1100,-24,0.139432288,0.819651374,0.004282252,0.036634085,Average,0.819651374,0.07,0.07,0.09,0.08,0.08,0.09,0.1,0.1,0.11,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
