"Cell","Site","contra","AltFreq","AltPos","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","a0","a0.1","a0.2","a0.3","a0.4","a0.5","a0.6","a0.7","a0.8","a0.9","a1","NA.","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.10","NA.11","NA.12","NA.13","NA.14","Trial","Mean_Bin_1","Mean_Bin_2","Mean_Bin_3","Mean_Bin_4","Mean_Bin_5","Mean_Bin_6","Mean_Bin_7","Mean_Bin_8","Mean_Bin_9","Mean_Bin_10","Mean_Bin_11","Mean_Bin_12","Mean_Bin_13","Mean_Bin_14","Mean_Bin_15","Mean_Bin_16","Mean_Bin_17","Mean_Bin_18","Mean_Bin_19","Mean_Bin_20","Mean_Bin_21","Mean_Bin_22","Mean_Bin_23","Mean_Bin_24","Min_Max_Min.","Min_Max_1st.Qu.","Min_Max_Median","Min_Max_Mean","Min_Max_3rd.Qu.","Min_Max_Max.","Switch_at_0.1","Switch_at_0.2","Switch_at_0.3","Mean_Bin_25","Mean_Bin_26","Mean_Bin_27","Mean_Bin_28","Mean_Bin_29","Mean_Bin_30","Mean_Bin_31","Mean_Bin_32","Mean_Bin_33","Mean_Bin_34","Mean_Bin_35","Mean_Bin_36","Mean_Bin_37","Mean_Bin_38","Mean_Bin_39","Mean_Bin_40","n_bins"
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.80630609434391,0.799516829889223,0.797850724295966,0.809108702688121,0.807201708628676,0.809065069509925,0.811835736287935,0.810618039619497,0.814238182489012,0.810341139885421,0.807874370414884,0.809041527432203,0.806882053647836,0.795926176726322,0.791434116541475,0.798234280146705,0.804331963977413,0.803205515412438,0.803097514096912,0.808561425495335,0.805075169445791,0.797727853896533,0.801978616899835,0.802445582665019,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.812474723282871,0.813229165164739,0.816232560275894,0.816490008336911,0.818962820943494,0.820196732256107,0.823722423162802,0.824327367010913,0.824704312443658,0.825771661227268,0.82470930671491,0.827383403519274,0.830049597576979,0.832795338996092,0.831865172830956,0.83013518308293,0.83377096974696,0.8324080194947,0.82900651290603,0.828949860474884,0.82947425033374,0.82929882555709,0.828735557417712,0.827299172414119,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.802465565585977,0.802753022951767,0.799788634562372,0.808638912298659,0.808269395067353,0.802399278159267,0.807069076009768,0.817307488367235,0.817104960417926,0.819489855814976,0.816395643540324,0.818268396799002,0.820705169917466,0.819554805638152,0.824594147650426,0.828702654047032,0.818746717566171,0.819905527907394,0.822409421696864,0.817157088596004,0.806031260101383,0.806103884682823,0.811551969203136,0.815250639800867,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.804981862492728,0.807088340523805,0.805611545545946,0.806227083397125,0.804308228550039,0.800256789092306,0.805655791894617,0.809061940006578,0.807466258946274,0.807900662462676,0.803626678066688,0.791089735144156,0.784321030800121,0.783486270006305,0.779956461576903,0.781805045765942,0.785435216579456,0.788041244656127,0.800535132830513,0.803727403610598,0.79985194397141,0.800014890143086,0.794760952724631,0.799687361165049,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.798402983658602,0.803227920674653,0.805595497280128,0.801585549116922,0.800279333715326,0.81046387853418,0.813258655610225,0.818594358135811,0.818861739496792,0.815839905244477,0.813426025899215,0.813273198417397,0.807047191350334,0.802291926231601,0.804688039229762,0.809120321362771,0.817106629816833,0.82128607331209,0.823133255231821,0.816470245280312,0.814367037004033,0.814378078956448,0.814660473518449,0.812865408193397,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.81963671692103,0.825263482079779,0.827989898885618,0.82844583511551,0.829835747915125,0.831451610038207,0.831815222132674,0.828921146390923,0.830816487868688,0.835757950602992,0.838815417012974,0.838038590097489,0.836623627805744,0.834450881066534,0.833380316351723,0.828695026112932,0.825249576509579,0.823692632690055,0.824695800614057,0.828032479810688,0.828990469146999,0.829800713702841,0.827742194100201,0.824207010374565,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.808076530660082,0.810318115168502,0.808695303762348,0.810642977826475,0.81649336585334,0.81583088963155,0.823280153189687,0.827246398650668,0.821982560822814,0.819381554955837,0.820286308879691,0.822727724656643,0.819173293765715,0.823816162503206,0.828956898043239,0.832940314451995,0.827212428993009,0.824964470004248,0.829354419632655,0.831697987385658,0.828140516818812,0.825229680524603,0.828800967309006,0.832098071267784,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.745485116727266,0.748565629960996,0.754819252122143,0.759370828721537,0.760945942941371,0.760986997675198,0.765478985113037,0.769382108934782,0.770796333406397,0.777476547664117,0.779616350260651,0.78043202486329,0.781148227594139,0.783066921945496,0.78252083278658,0.781450203243391,0.783080471495663,0.783256783652373,0.784545288627092,0.785328780052424,0.785861701440861,0.784583821442307,0.782577743748316,0.774014155174241,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.782792998355097,0.786315605395405,0.783606530675087,0.786272296111577,0.790628035281677,0.790715914656131,0.787780809231733,0.788771336439033,0.78869085863313,0.783678790064699,0.783517861334778,0.793765643669108,0.794495179824551,0.786515251968055,0.786719868348067,0.792709277261232,0.792307785991228,0.78848488025277,0.793361690320478,0.790460031694817,0.792689253235866,0.79585952312056,0.795186408778877,0.793731703653915,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.753855791611193,0.747512140204673,0.749261386809233,0.748123233380943,0.746145883963895,0.744836123328194,0.742530956869399,0.743607411598483,0.753102384655872,0.753381691628065,0.747221338660554,0.745612790885515,0.751592949704619,0.748759817214271,0.744344975437236,0.745519375679722,0.751647101594445,0.752057125262498,0.750460143680221,0.754960132013227,0.750119189788316,0.750139281217611,0.761532861235815,0.760283462075481,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
